ecosys,mvg,cmz,areatot,areaeff,areatot_connadj,areaeff_connadj,areatot_compcorr,areaeff_compcorr,areatot_connadj_compcorr,areaeff_connadj_compcorr,areaeff_scaled,log_areatot,delta_persist_1ha,cons_sig
366,16,21,2528.82,1137.3461938476564,2528.82,205.48550308227541,155073.67213948173,116281.5673928355,155073.67213948173,72884.97904611111,0.47000227724377597,11.951655587105845,2.840041795959536e-06,0.6561743341404358
220,10,13,58772.79,40800.3739453125,58772.79,19702.829179687502,180585.23440639698,130973.46978619735,180585.23440639698,71407.84662637551,0.3954246140948387,12.103958158075528,2.776244531821348e-06,0.6537530266343826
291,13,15,300.51000000000005,137.3082865905762,300.51000000000005,25.728685455322267,154993.5834236464,119750.48607125772,154993.5834236464,75490.22572474,0.48705387705245434,11.951138997777695,2.76656818642973e-06,0.6513317191283293
307,14,8,0.81,0.43496328949928287,0.81,0.027002892158925536,221769.7301918649,115439.6135175521,221769.7301918649,67698.29498672757,0.30526391012947596,12.309394871148921,2.7449139717861115e-06,0.648910411622276
15,1,15,66150.27,39357.3589453125,66150.27,12264.574658203126,365688.23476916744,196386.6502804712,365688.23476916744,57604.12043962146,0.15752248763480942,12.80953643181018,2.7341307048400765e-06,0.6464891041162227
347,16,2,164.43,93.8798602294922,164.43,33.03555015563965,161929.61211545696,121366.64070912047,161929.61211545696,76391.04513985006,0.4717546354979391,11.994917026680573,2.71221721992454e-06,0.6440677966101694
489,22,6,218.70000000000002,112.93231201171876,218.70000000000002,16.864150314331056,201503.82660759435,126526.31416613588,201503.82660759435,71202.93142755356,0.3533577134801173,12.213563650796964,2.7070326349409868e-06,0.6416464891041163
46,2,23,213996.33000000002,103657.23773437501,213996.33000000002,18912.4621875,551286.9331843478,263642.29301613715,551286.9331843478,51341.62680232356,0.09313049831557527,13.220010702472736,2.689925133192439e-06,0.639225181598063
320,14,21,113.4,76.53271453857423,113.4,27.220822105407716,251417.2190526959,124017.05764230105,251417.2190526959,67150.94122857375,0.2670896666568379,12.434869065444703,2.6763921694428205e-06,0.6368038740920097
232,11,2,111695.76000000001,65151.824765625,111695.76000000001,19481.6485546875,394741.8785976933,178672.9367706475,394741.8785976933,57778.95940579034,0.1463714962573722,12.885987358372859,2.6762803299051896e-06,0.6343825665859564
177,8,16,284058.09,48983.21226562501,284058.09,3748.9975927734376,668303.8233053335,173312.32134486648,668303.8233053335,49065.485753585526,0.07341793364418413,13.41249817442449,2.652229650790261e-06,0.6319612590799032
336,15,14,1238.49,471.35385131835943,1238.49,110.0053564453125,191526.60084912577,108447.99742698476,191526.60084912577,75266.01004890741,0.3929794071174368,12.162781985784372,2.6298525487300495e-06,0.6295399515738499
